Struktur;Extradeck;Typ;Name;Untertyp;Zweihändig;Bedingung;Stats;CenterText;Text;Flavor_text;Stufe;Rasse;Win;Lose;Scrapped;Druck1;Druck2;Druck3;Druck4
normal;;Action;Arm ab oder arm dran;;;;;;"Du wirst vor die Wahl gestellt.
Entweder verlierst du alle bis auf 1 Ausrüstungskarte (mindestens eine) oder deinen rechten Arm.
Solltest du deinen Arm verlieren so erhälst du ""Armlos"" (Extra Deck).";Du solltest dir nächstes mal zweimal überlegen ob du in die Suppe der Königs...;;;;;;0;1;1;0
normal;;Action;Berge von Gold;;;;;;Ziehe 4 Zauberkarten.;;;;;;;0;1;1;0
normal;;Action;Bier für Tim;;;;;;Du läufst in Schlangenlinien, wodurch du für die nächsten 3 Zügen 0/-2  hast.;;;;;;;0;1;1;0
normal;;Action;Brennender Busch;;;;;;"Dein Bush brennt!
Ein Zeichen Gottes?
Würfel mit einen D6.
Solltest du eine 6 würfeln erhälst du ""Auserwählt"" (Extra Deck).
Werfe einen weitere D6 für jedes Faith, das du besitzt.
Solltest du es nicht schaffen setzt du eine Runde aus, um das Feuer zu löschen.";;;;;;;0;1;1;0
normal;;Action;Deal or No Deal;;;;;;Du kannst alle deine Handkarten abwerfen, um 4 neue Zauberkarten nachzuziehen.;;;;;;;0;1;1;0
normal;;Action;Der Garten Eden;;;;;;"Du erblickst den schönsten aller Gärten und willst verweilen.
Setze eine Runde aus und Ziehe ""Apfel"" (Extra Deck).";;;;;;;0;1;1;0
normal;;Action;Eingebung;;;;;;"Wenn du Priester bist hast du in der nächsten Runde Faith+2.
Wenn nicht, kannst du eine Karte von deiner Hand als Opfer abwerfen, um Faith+2 für die nächste Runde zu erhalten.";;;;;;;0;1;1;0
normal;;Action;Erdrutsch;;;;;;Alle Spieler im führenden Areal setzen eine Runde aus.;;;;;;;0;1;1;0
normal;;Action;Fallgrube;;;;;;"Du fällst in eine Grube!
Zu deinem Glück findest du am Boden 4 Zauberkarten. Sollte dir ein Spieler anbieten dir zu helfen, entkommst du der Grube und kannst auch die 4 Zauberkarten bergen.
Du kannst dabei mit den anderen Spieler handeln.

Sollte dir aber niemand helfen wollen, setzt du 1 Runde aus, um mit leeren Händen der Grube zu entkommen.";;;;;;;0;1;1;0
normal;;Action;Fundort des Heiligen Würfels Quartus;;;;;;"Füge ""Heiliger Würfel Quartus Die Welt"" deiner Hand hinzu (Extra Deck).
Ganz egal wo er sich gerade befindet.";;;;;;;0;1;1;0
normal;;Action;Fusion;;;;;;"Diese Karte betrifft nur die letzten beiden Spieler.
Sie könen beide zu einem Spieler fusionieren, wobei sie alle ihre Karten zusammenführen.
Sie spielen mit der Spielfigur ihrer Wahl weiter.";;;;;;;0;1;1;0
